reason;9;0.0215502%
school;9;0.0215502%
seem;9;0.0215502%
shot;9;0.0215502%
somewhere;9;0.0215502%
sound;9;0.0215502%
spent;9;0.0215502%
spring;9;0.0215502%
sun;9;0.0215502%
talking;9;0.0215502%
touch;9;0.0215502%
tried;9;0.0215502%
twelve;9;0.0215502%
use;9;0.0215502%
voice;9;0.0215502%
women;9;0.0215502%
worked;9;0.0215502%
1947;8;0.0191557%
England;8;0.0191557%
Get;8;0.0191557%
Greg;8;0.0191557%
Inside;8;0.0191557%
Or;8;0.0191557%
Rooster;8;0.0191557%
Shank;8;0.0191557%
Zihuatanejo;8;0.0191557%
banker;8;0.0191557%
baseball;8;0.0191557%
believed;8;0.0191557%
broken;8;0.0191557%
card;8;0.0191557%
cent;8;0.0191557%
charge;8;0.0191557%
clear;8;0.0191557%
crime;8;0.0191557%
damned;8;0.0191557%
dirty;8;0.0191557%
dollar;8;0.0191557%
drunk;8;0.0191557%
empty;8;0.0191557%
explain;8;0.0191557%
fish;8;0.0191557%
fourteen;8;0.0191557%
gate;8;0.0191557%
given;8;0.0191557%
glad;8;0.0191557%
glass;8;0.0191557%
golf;8;0.0191557%
hour;8;0.0191557%
item;8;0.0191557%
line;8;0.0191557%
near;8;0.0191557%
north;8;0.0191557%
number;8;0.0191557%
period;8;0.0191557%
pin;8;0.0191557%
prisoner;8;0.0191557%
quick;8;0.0191557%
rocks;8;0.0191557%
screw;8;0.0191557%
sitting;8;0.0191557%
talked;8;0.0191557%
testified;8;0.0191557%
top;8;0.0191557%
trial;8;0.0191557%
trying;8;0.0191557%
unless;8;0.0191557%
usually;8;0.0191557%
wanting;8;0.0191557%
warm;8;0.0191557%
wearing;8;0.0191557%
weeks;8;0.0191557%
worry;8;0.0191557%
1948;7;0.0167612%
Elwood;7;0.0167612%
Like;7;0.0167612%
Most;7;0.0167612%
Oh;7;0.0167612%
Out;7;0.0167612%
Some;7;0.0167612%
administration;7;0.0167612%
advice;7;0.0167612%
answer;7;0.0167612%
ass;7;0.0167612%
became;7;0.0167612%
bought;7;0.0167612%
bright;7;0.0167612%
bring;7;0.0167612%
bunk;7;0.0167612%
cage;7;0.0167612%
calm;7;0.0167612%
cellblock;7;0.0167612%
closed;7;0.0167612%
conversation;7;0.0167612%
death;7;0.0167612%
dirt;7;0.0167612%
doors;7;0.0167612%
drinks;7;0.0167612%
easy;7;0.0167612%
fight;7;0.0167612%
folks;7;0.0167612%
forget;7;0.0167612%
fresh;7;0.0167612%
friends;7;0.0167612%
girl;7;0.0167612%
great;7;0.0167612%
happen;7;0.0167612%
heart;7;0.0167612%
help;7;0.0167612%
hot;7;0.0167612%
identity;7;0.0167612%
keeping;7;0.0167612%
knows;7;0.0167612%
living;7;0.0167612%
master;7;0.0167612%
meant;7;0.0167612%
middle;7;0.0167612%
nine;7;0.0167612%
opened;7;0.0167612%
paid;7;0.0167612%
pass;7;0.0167612%
pieces;7;0.0167612%
planned;7;0.0167612%
pocket;7;0.0167612%
pockets;7;0.0167612%
police;7;0.0167612%
possible;7;0.0167612%
programme;7;0.0167612%
question;7;0.0167612%
routine;7;0.0167612%
self;7;0.0167612%
served;7;0.0167612%
shaft;7;0.0167612%
sheets;7;0.0167612%
show;7;0.0167612%
silent;7;0.0167612%
slipped;7;0.0167612%
spoke;7;0.0167612%
standing;7;0.0167612%
stock;7;0.0167612%
stone;7;0.0167612%
strong;7;0.0167612%
suit;7;0.0167612%
summer;7;0.0167612%
term;7;0.0167612%
terrible;7;0.0167612%
third;7;0.0167612%
timers;7;0.0167612%
tossed;7;0.0167612%
truth;7;0.0167612%
type;7;0.0167612%
weren;7;0.0167612%
worst;7;0.0167612%
1963;6;0.0143668%
6;6;0.0143668%
Can;6;0.0143668%
Do;6;0.0143668%
Don;6;0.0143668%
First;6;0.0143668%
